,name,list_categories
81,PURE ESSENCE LABS,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Accessories']"
82,GERBER CHILDRENSWEAR,"['Wallets', 'Shoes', 'Accessories', 'Suits And Uniforms', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Belts']"
83,DREW'S ALL NATURAL,"['Vitamins and supplements', 'Cosmetics']"
84,LIFELAB,['Food And Drinks']
85,REBEL GREEN,['Oil']
86,MIGHTY SESAME CO,['Traditional Clothing']
87,FUNGI PERFECTI,"['Canned and baked food', 'Breakfast Foods', 'Condiments and Sauces', 'Snacks, Chips and Crackers', 'Pasta', 'Seeds']"
88,ANNIE'S,"['Office furniture', 'Furniture', 'Home & Interiors']"
89,KARE PRODUCTS,"['Accessories', 'Accessories', 'Underwear And Lingerie', 'Accessories']"
90,PEACEFUL FRUITS,"['Food And Drinks', 'Drinks']"
91,ZAND,['Food And Drinks']
92,CHEMISOURCE INC/ NUTRA - PAK/DBA MRM,"['Snacks, Chips and Crackers']"
93,THE GREATER KNEAD,"['Snacks, Chips and Crackers', 'Breakfast Foods']"
94,BEAR NAKED,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Accessories', 'Tops And Sweaters', 'Swimwear', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Accessories', 'Wallets', 'Sunglasses']"
95,PRIVATE SELECTION,"['Coffee', 'Eggs and Dairy Products.', 'Food And Drinks']"
96,GREEN VALLEY TRADING COMPANY DBA INVALSA COFFEE,"['Activewear', 'Underwear And Lingerie']"
97,PARADISE HERBS,['Food And Drinks']
98,SUNRISE COMMODITIES,['Confectionery']
99,SNOWFLAKES,"['Tops And Sweaters', 'Outerwear', 'Suits And Uniforms', 'Pants And Shorts', 'Dresses']"
100,LIFETIME,"['Watches', 'Jewelry', 'Watches']"
101,NATIVE FOREST,['Quinoa']
102,BLUE DIAMOND,"['Skirts', 'Outerwear', 'Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
103,ACADIAN COFFEE ROASTERS LLC,['Breakfast Foods']
104,COOMBS FAMILY FARMS,['Nectar and juices']
105,NORTH COAST,"['Earrings', 'Rings', 'Necklaces', 'Bracelets', 'OLD_Jewelry']"
106,SOKO,"['Wallets', 'Accessories', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Accessories', 'Wallets']"
107,EMERALD LABS,['Food And Drinks']
108,"ALAMODE FOODS, INC","['Accessories', 'Outerwear', 'Umbrellas', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Jewelry', 'Accessories', 'Gloves', 'Scarves', 'Belts']"
109,"MCCORMICK AND COMPANY, INC","['Water', 'Nectar and juices']"
110,AMY AND BRIAN,['Food And Drinks']
111,STONEWALL KITCHEN LIMITED,"['Snacks, Chips and Crackers']"
